"","tmin","prcp","swe","enso","nao","total_exp","rel_var","mean_arr_true","nn_count","cell"
"var_exp_cm.65",0.238161124512372,0.00703631030247796,0.0667733278371069,0.0166997509322981,0.0157993020175074,0.401898817992734,10.7080003666937,118.339828348637,97,564
"var_exp_cm.66",0.237719381553604,0.0070690497765853,0.0429090366546585,0.011667358172125,0.0118131004043839,0.383080390646922,14.0166338277781,117.686258206233,90,565
"var_exp_cm.67",0.25931996389412,0.00905411299498481,0.0463146425460806,0.0156337377533918,0.0129508740618735,0.404900434267332,11.902114480124,117.413024299898,97,566
"var_exp_cm.68",0.218670414492928,0.0112214366432332,0.0524434600907733,0.018803517112902,0.0144721435060226,0.367966234295547,9.23154397715006,119.941101846941,99,567
"var_exp_cm.69",0.269827249281604,0.0125136004641996,0.04020373028758,0.0252540835160503,0.0179411978670297,0.399702772131738,8.16947077754579,118.735473255941,76,568
"var_exp_cm.70",0.224121304389208,0.00860487206355331,0.0465160021726874,0.0234728678776714,0.0203048677489858,0.36836665597474,8.14017155264151,118.191076137286,91,592
"var_exp_cm.71",0.218110486712357,0.00853520000483071,0.0448565915968719,0.0216017105653187,0.0177927871640549,0.337965604427869,8.09644089308947,119.050243356943,88,593
"var_exp_cm.72",0.266554046252142,0.0120589355653612,0.0490440121301877,0.0238775748943021,0.0196015936852649,0.394520342625545,7.97511072984606,116.970091276306,85,594
"var_exp_cm.73",0.260827701614468,0.0162731350343382,0.0392682383782368,0.0288172203748353,0.0207479830244111,0.380231437647682,5.90613839197624,120.779059788048,73,595
"var_exp_cm.74",0.242551984335721,0.00970567308810238,0.0442885885802187,0.02653290087444,0.0185019944267849,0.366873235658076,7.05652486895234,117.781010909601,73,621
"var_exp_cm.75",0.213300201051596,0.0110102086505588,0.0513921853803891,0.0310527616208434,0.0178321146485539,0.359751600920657,7.57809646948097,127.683225625469,49,738
"var_exp_cm.76",0.196570351779506,0.0156500672405035,0.0652720975004949,0.0252198565093212,0.0190265387097543,0.342054471506879,8.10293707984742,127.496387222438,53,739
"var_exp_cm.77",0.15825857266302,0.0158816616989257,0.0338085372750346,0.0177338935154585,0.0140497455402349,0.258254110454944,11.5673304983212,130.323778208336,38,740
"var_exp_cm.78",0.113908577586466,0.00929178677487884,0.0258268389406313,0.0151468557146696,0.0223071282754727,0.216045242124995,9.51577249260234,116.152222602287,62,391
"var_exp_cm.79",0.180831816629151,0.00465405786043621,0.0841605137217674,0.0108159088771102,0.011765364675843,0.372025065566501,14.7662506488577,112.791470609682,82,393
"var_exp_cm.80",0.171802911280502,0.00474561679482503,0.0692604115278283,0.0060336245805416,0.0104745066944511,0.321796870225045,18.5914519142019,114.11177256437,36,395
"var_exp_cm.81",0.0807611093103632,0.0109071869154936,0.0296171879212861,0.0144850832989676,0.0279183946435405,0.165930327879434,8.64884650157218,113.276337925385,50,418
"var_exp_cm.82",0.116176942241255,0.0135462667349321,0.0301217604967167,0.0170278704534723,0.0225340436775329,0.217679389252519,8.48011535924332,120.056081847467,64,419
"var_exp_cm.83",0.153033283885792,0.00524410202476652,0.0685362796682493,0.0116354117158708,0.0157436873384844,0.29043505333817,12.8055544696086,113.112407350937,98,420
"var_exp_cm.84",0.161894004290403,0.00470927589097726,0.0700688968379978,0.0089344007631317,0.0124106458367197,0.32984556609471,15.6468842891689,112.416736307001,59,421
"var_exp_cm.85",0.147421234213386,0.00297628723390213,0.0999496467950713,0.0061225275247182,0.00934322409742628,0.357334411621372,18.9131999899857,116.745715017457,78,422
"var_exp_cm.86",0.0869459822269871,0.00911908121053303,0.00790972082167928,0.0194631252167301,0.0298881841512421,0.160558245395161,7.90505530759185,113.11072833918,49,444
"var_exp_cm.87",0.131921214305105,0.00596207262277164,0.0137709401027892,0.0138782469732238,0.0183568403156013,0.203688999701332,9.97904594672635,110.158163583353,62,445
"var_exp_cm.88",0.0993086017129125,0.0138434868618518,0.0232389286423991,0.0177414344032877,0.0193341595761216,0.206332640200715,8.78391406757148,110.347341499735,38,446
"var_exp_cm.89",0.138620973735842,0.00720996703381733,0.0351846615855141,0.0158253442876165,0.0223135483358842,0.238729441049499,8.75149564131834,118.241537731119,74,447
"var_exp_cm.90",0.156979184492609,0.00452730826635768,0.121298620014581,0.0105778036847819,0.0141925915056706,0.340969432454569,11.6980422294904,114.494458651662,56,448
"var_exp_cm.91",0.159923435982213,0.00299281051964964,0.0988242056446336,0.00790230749698646,0.00836707746300917,0.367326081329304,20.0489084393251,113.875362335571,78,449
"var_exp_cm.92",0.182057523765758,0.00326618469384175,0.108231767504167,0.00532768405343479,0.00891764320401882,0.402062686691951,19.7205525122578,113.763810815858,62,450
"var_exp_cm.93",0.0782244401220348,0.00745829702587292,0.0073779060294227,0.0183556210682398,0.0310114676740164,0.165968814444908,7.23781985501812,113.481950622102,43,473
"var_exp_cm.94",0.108958735212492,0.00518865476079864,0.0290573623544049,0.0144210055202605,0.0192340940228685,0.209251352116864,10.5264236442431,110.828027144024,64,474
"var_exp_cm.95",0.158380354051959,0.00820157248158692,0.0368216657592888,0.0145691219921791,0.018703455116587,0.268456717159098,9.60316656312831,116.236754533032,57,475
"var_exp_cm.96",0.13709436170659,0.00654645006466602,0.0949605421609008,0.0117599996996843,0.01348367842697,0.325103263387301,13.9715678563979,116.341757562287,81,477
"var_exp_cm.97",0.14199470996492,0.00578461264384261,0.0588193071125989,0.00855850012289065,0.0099883036273555,0.31615656748243,18.3546471844949,114.927339945324,94,478
"var_exp_cm.98",0.0893075631219519,0.00913803763524637,0.0277158776550804,0.0155648774677639,0.0253140432466205,0.18471140171111,7.98892773070818,107.653046859754,55,499
"var_exp_cm.99",0.0829568877892864,0.00893122500656083,0.0319129028994464,0.0168558996475902,0.0255910461254337,0.201429466001697,8.47756335445485,109.104797368207,60,501
"var_exp_cm.100",0.165777416090354,0.00633768287684929,0.0425548079273506,0.0127966297068987,0.0158047665050729,0.268329448225127,11.5334194967914,111.073899487264,76,502
